"kjopsdato";"posteringsdato";"beskrivelse";"belop"
"2024-04-01";"2024-04-02";"TV2 A/S, BERGEN, NOR";"-398,00"
"2024-03-30";"2024-04-02";"Vipps*Samtiden, Oslo, NOR";"-560,00"
"2024-03-15";"2024-03-18";"Foodora Norway, Oslo, NOR";"-358,20"
"2024-03-15";"2024-03-18";"POINT (A357), Gardermoen, NOR";"-188,00"
"2024-03-15";"2024-03-18";"JAPAN PHOTO 22, Oslo, NOR";"-144,00"
"2024-03-15";"2024-03-15";"Vipps*Ruter, Oslo, NOR";"-64,86"
"2024-03-14";"2024-03-15";"4363 EXTRA BIRKELUNDEN, OSLO, NOR";"-27,90"
"2024-03-14";"2024-03-18";"COOP PRIX CARL BERNER, OSLO, NOR";"-465,30"
"2024-03-14";"2024-03-15";"APOTEK 1, OSLO, NOR";"-1046,71"
"2024-03-13";"2024-03-14";"KAFE ASYLET, Oslo, NOR";"-194,00"
"2024-03-13";"2024-03-14";"KAFE ASYLET, Oslo, NOR";"-565,00"
"2024-03-12";"2024-03-13";"KIWI 308 FREDEN, Oslo, NOR";"-90,10"
"2024-03-12";"2024-03-13";"Oslo Street F BJL2Q2EZ, Oslo, NOR";"-199,00"
"2024-03-10";"2024-03-11";"EBILLETT KULTUR, BODO, NOR";"-10,00"
"2024-03-08";"2024-03-11";"BUNNPRIS SOFIEN, Oslo, NOR";"-171,70"
"2024-03-08";"2024-03-11";"NORLI ELDORADO, Oslo, NOR";"-167,40"
"2024-03-08";"2024-03-11";"KJELL & CONO013, Oslo, NOR";"-129,90"
"2024-03-07";"2024-03-08";"TV2 A/S, BERGEN, NOR";"-159,00"
"2024-03-07";"2024-03-07";"Vipps*Ruter, Oslo, NOR";"-69,00"
"2024-03-06";"2024-03-07";"Vipps*Sandvikarevyen k, Oslo, NOR";"-35,00"
"2024-03-04";"2024-03-05";"REMA 1000 RODELOKKA, OSLO, NOR";"-142,40"
"2024-03-03";"2024-03-04";"Dominos, Oslo, NOR";"-199,00"
"2024-03-02";"2024-03-04";"NORDBY BAKERI O, OSLO, NOR";"-146,00"
"2024-03-02";"2024-03-04";"Cale AS Parkeringstill, Kista, SWE";"-475,00"
"2024-02-28";"2024-03-01";"COOP PRIX CARL BERNER, OSLO, NOR";"-524,36"
"2024-02-27";"2024-02-28";"SAGENE TORG AS, Oslo, NOR";"-147,00"
"2024-02-27";"2024-02-28";"ALBILLETT AS, OSLO, NOR";"-500,00"
"2024-02-26";"2024-02-27";"Oda.com - hvzfpv, Oslo, NOR";"-1651,04"
"2024-02-26";"2024-02-27";"CIRCLE K KIELLANDS PLA, OSLO, NOR";"-229,00"
"2024-02-26";"2024-02-27";"BAKER HANSEN ST, Oslo, NOR";"-35,00"
"2024-02-22";"2024-02-23";"JERNIA THORSTENSEN, OSLO, NOR";"-828,50"
"2024-02-22";"2024-02-23";"JOKER TRONDHEIM, Oslo, NOR";"-209,60"
"2024-02-22";"2024-02-22";"Loevenskiold Handel AS, Oslo, NOR";"-193,71"
"2024-02-21";"2024-02-22";"MONSUN RESTAURANT AS, Oslo, NOR";"-952,60"
"2024-02-21";"2024-02-23";"COOP PRIX CARL BERNER, OSLO, NOR";"-413,90"
"2024-02-21";"2024-02-22";"JERNIA THORSTENSEN, OSLO, NOR";"-1014,00"
"2024-02-20";"2024-02-21";"BUNNPRIS SOFIEN, Oslo, NOR";"-129,40"
"2024-02-20";"2024-02-21";"UNO X HOVIK, HOVIK, NOR";"-242,60"
"2024-02-20";"2024-02-21";"CIRCLE K HOYDALSMO, HOYDALSMO, NOR";"-163,00"
"2024-02-20";"2024-02-21";"Billettservice AS, Oslo, NOR";"-720,00"
"2024-02-19";"2024-02-19";"Vipps*Parkering sum +, Oslo, NOR";"-100,00"
"2024-02-17";"2024-02-19";"CIRCKE K KONGSBERGPORT, KONGSBERG, NOR";"-606,11"
"2024-02-17";"2024-02-20";"RODELØKKA POST, Oslo, NOR";"-29,00"
"2024-02-17";"2024-02-19";"REMA 1000 RODELOKKA, OSLO, NOR";"-91,70"
"2024-02-16";"2024-02-19";"Foodora Norway, Oslo, NOR";"-511,60"
"2024-02-16";"2024-02-19";"COOP PRIX CARL BERNER, OSLO, NOR";"-314,15"
"2024-02-15";"2024-02-16";"Vipps*NETONNET, Oslo, NOR";"-1048,00"
"2024-02-15";"2024-02-16";"BUNNPRIS SOFIEN, Oslo, NOR";"-54,90"
"2024-02-15";"2024-02-16";"REMA 1000 SOFIENBERG, OSLO, NOR";"-134,20"
"2024-02-14";"2024-02-16";"ROCK IN, OSLO, NOR";"-190,00"
"2024-02-14";"2024-02-16";"DATTERA, Oslo, NOR";"-184,00"
"2024-02-14";"2024-02-16";"DATTERA, Oslo, NOR";"-648,00"
"2024-02-14";"2024-02-16";"DATTERA, Oslo, NOR";"-276,00"
